Symbol,Name,Exchange,Sector,Industry,SCTR,Universe,Close,Volume,Market Cap
MERC,"Mercer Intl, Inc.",NASD,Materials,Paper,95.1,sml,15.44,359798,1019.04
SHEN,Shenandoah Telecommunications Co.,NASD,Communication Services,Mobile Telecommunications,36.6,sml,20.35,219171,1017.5
SMP,"Standard Motor Prod, Inc.",NYSE,Consumer Discretionary,Auto Parts,83.6,sml,46.25,49936,1017.5
ASIX,"AdvanSix, Inc.",NYSE,Materials,Specialty Chemicals,49.2,sml,36.17,130394,1012.76
PRG,"PROG Holdings, Inc.",NYSE,Financial,Consumer Finance,15.6,sml,18.54,752717,1001.16
RWT,"Redwood Trust, Inc.",NYSE,Real Estate,Mortgage REITs,43.9,sml,8.3,1419408,996
TWI,"Titan Intl, Inc.",NYSE,Consumer Staples,Tires,95.8,sml,15.71,433113,989.73
OII,"Oceaneering Intl, Inc.",NYSE,Energy,Oil Equipment & Services,31.6,sml,9.79,1095503,979
DLX,Deluxe Corp.,NYSE,Financial,Financial Administration,35,sml,22.73,151544,977.39
OPI,Office Properties Income Trust,NASD,Real Estate,Specialty REITs,44.5,sml,20.31,305938,974.88
TGI,"Triumph Group, Inc.",NYSE,Industrial,Aerospace,42.3,sml,14.87,500546,966.55
AXL,American Axle & Manufac.,NYSE,Consumer Discretionary,Auto Parts,80.9,sml,8.42,876276,959.88
HSKA,Heska Corp.,NASD,Health Care,Pharmaceuticals,19.6,sml,86.41,253279,950.51
EFC,Ellington Financial Inc.,NYSE,Financial,Mortgage Finance,78.8,sml,15.77,648163,946.2
HZO,"Marinemax, Inc.",NYSE,Consumer Discretionary,Specialty Retailers,82.3,sml,42.95,275136,944.9
SGH,"Smart Global Holdings, Inc.",NASD,Technology,Semiconductors,27.2,sml,18.87,2656577,943.5
DGII,Digi Intl Inc.,NASD,Technology,Telecom Equipment,94.6,sml,26.85,153299,939.75
PUMP,ProPetro Holding Corp.,NYSE,Energy,Oil Equipment & Services,33,sml,9,1183344,936
ITOS,ITeos Therapeutics Inc.,NASD,Health Care,Pharmaceuticals,56.9,sml,25.98,537528,935.28
ANF,Abercrombie & Fitch Co.,NYSE,Consumer Discretionary,Apparel Retailers,18.9,sml,18.67,1038248,933.5
PDFS,"PDF Solutions, Inc.",NASD,Technology,Software,88.4,sml,25.17,206849,931.29
CHCT,"Community Healthcare Trust, Inc.",NYSE,Real Estate,Specialty REITs,59.5,sml,36.99,45373,924.75
PARR,Par Pacific Holdings Inc.,NYSE,Energy,Exploration & Production,69.8,sml,15.39,1663365,923.4
FORR,"Forrester Research, Inc.",NASD,Technology,Computer Services,63.1,sml,48.42,31853,919.98
VREX,Varex Imaging Corp.,NASD,Health Care,Medical Equipment,67.7,sml,22.99,224305,919.6
BCOR,Blucora Inc.,NASD,Communication Services,Internet,92.1,sml,19.43,190351,913.21
UTL,UNITIL Corp.,NYSE,Utilities,Conventional Electricity,92.2,sml,57.02,42945,912.32
UIS,Unisys Corp.,NYSE,Technology,Computer Services,36.1,sml,13.34,178820,907.12
HFWA,Heritage Financial Corp.,NASD,Financial,Banks,83.2,sml,25.78,209696,902.3
AMSF,"AMERISAFE, Inc.",NASD,Financial,Life Insurance,51.5,sml,47.32,51813,899.08
ICHR,"Ichor Holdings, Ltd.",NASD,Technology,Semiconductors,54.3,sml,31,103203,899
PRDO,Perdoceo Education Corporation,NASD,Consumer Discretionary,Special Consumer Services,93.3,sml,12.9,459046,890.1
APOG,"Apogee Enterprises, Inc.",NASD,Industrial,Building Materials,66.1,sml,40.43,123205,889.46
JBSS,"John B. Sanfilippo & Son, Inc.",NASD,Consumer Staples,Food Products,52.7,sml,73.63,62918,883.56
TMST,Timken Steel Corp.,NYSE,Materials,Steel,89.2,sml,18.45,437870,867.15
ANGO,AngioDynamics Inc.,NASD,Health Care,Medical Supplies,85,sml,22.1,128446,861.9
CEVA,Ceva Inc.,NASD,Technology,Semiconductors,82.8,sml,37.03,97081,851.69
MATW,Matthews International Corporation,NASD,Consumer Discretionary,Special Consumer Services,36.5,sml,27.42,86163,850.02
KAMN,Kaman Corp.,NYSE,Industrial,Industrial Suppliers,29.8,sml,30.3,154994,848.4
RPT,RPT Realty,NYSE,Real Estate,Retail REITs,53.7,sml,10.58,250500,846.4
SNBR,Sleep Number Corporation,NASD,Consumer Discretionary,Furnishings,25.6,sml,38.43,709010,845.46
JRVR,"James River Group Holdings, Ltd.",NASD,Financial,Property-Casualty Insurance,39.3,sml,22.75,131773,841.75
BHE,Benchmark Electronics Inc.,NYSE,Technology,Electrical Components,73.8,sml,23.84,113475,834.4
TILE,"Interface, Inc.",NASD,Consumer Discretionary,Furnishings,88.1,sml,14.14,119209,834.26
GEO,"GEO Group, Inc.",NYSE,Real Estate,Specialty REITs,71.5,sml,6.72,1006891,833.28
WRLD,World Acceptance Corp.,NASD,Financial,Consumer Finance,22.9,sml,118.67,43070,830.69
ABTX,"Allegiance Bancshares, Inc.",NASD,Financial,Banks,80.7,sml,41.49,54008,829.8
GCO,"Genesco, Inc.",NYSE,Consumer Discretionary,Apparel Retailers,85,sml,59.26,114173,829.64
MYE,"Myers Industries, Inc.",NYSE,Materials,Containers & Packaging,92.2,sml,23.02,87817,828.72
DRQ,"Dril Quip, Inc.",NYSE,Energy,Oil Equipment & Services,42.1,sml,23.42,288324,819.7
BLFS,BioLife Solutions Inc.,NASD,Health Care,Medical Equipment,57.4,sml,19.49,391037,818.58
INN,Summit Hotel Properties Inc.,NYSE,Real Estate,Hotel & Lodging REITs,42.5,sml,7.64,607364,817.48
UFCS,United Fire & Casualty Co.,NASD,Financial,Full Line Insurance,93,sml,32.69,56183,817.25
AMWD,American Woodmark Corp.,NASD,Industrial,Building Materials,47.2,sml,47.88,49249,813.96
SLCA,"US Silica Holdings, Inc.",NYSE,Materials,General Mining,49.4,sml,10.83,934278,812.25
PAHC,Phibro Animal Health Corp.,NASD,Materials,Specialty Chemicals,80.4,sml,19.8,78686,811.8
KELYA,"Kelly Services, Inc.",NASD,Consumer Discretionary,Business Training Agencies,93.2,sml,21.27,122903,808.26
MOV,"Movado Group, Inc.",NYSE,Consumer Discretionary,Clothing & Accessories,84.1,sml,35.05,60932,806.15
THRY,Thryv Holdings Inc.,NASD,Communication Services,Media Agencies,38.2,sml,23.67,328886,804.78
SCSC,"ScanSource, Inc.",NASD,Technology,Computer Hardware,70.1,sml,32.07,86652,801.75
CARS,Cars.com Inc.,NYSE,Technology,Software,68.7,sml,11.6,278050,800.4
NX,Quanex Corp.,NYSE,Industrial,Building Materials,89.9,sml,24.09,138390,794.97
HA,"Hawaiian Holdings, Inc.",NASD,Industrial,Airlines,44.4,sml,15.52,952795,791.52
WNC,Wabash National Corp.,NYSE,Industrial,Commercial Vehicles,79.5,sml,16.04,254522,785.96
CNSL,Consolidated Communications Holdings Inc.,NASD,Communication Services,Fixed Telecommunications,68.2,sml,6.8,386049,782
